model,fold_id,uf,onset_week_error,peak_timing_error,peak_magnitude_error,total_cases_error
ensemble_conformal,4,SP,6.0,1,1.37156271067292,0.9804051680903131
ensemble_conformal,4,TO,-7.0,-2,-1.275418111676762,-1.2084497837558577
ensemble_vincent,1,AC,0.0,-6,-0.7801585575495751,-0.01997812451036415
ensemble_vincent,1,AL,0.0,7,0.4745943029543345,0.8775404359412606
ensemble_vincent,1,AM,0.0,4,-1.0288976560527485,-0.6176953350258874
ensemble_vincent,1,AP,-12.0,-26,-2.1000608288825715,-0.40626490130554765
ensemble_vincent,1,BA,7.0,-3,0.05270540572830676,-0.21378132717497625
ensemble_vincent,1,CE,0.0,0,0.6271562263420591,0.5224878557399579
ensemble_vincent,1,DF,3.0,1,-0.2506518475046368,-0.584608614419698
ensemble_vincent,1,GO,1.0,7,0.14755869814510542,0.3537998952173815
ensemble_vincent,1,MA,3.0,8,-0.46983109108589627,0.08354209421092415
ensemble_vincent,1,MG,-1.0,2,-1.5438480945937834,-1.2509176172722256
ensemble_vincent,1,MS,5.0,6,-1.1595122671774127,-0.826238358003028
ensemble_vincent,1,MT,-1.0,5,-0.8602550738908203,-0.452818940995908
ensemble_vincent,1,PA,0.0,6,-0.6361438667824423,-0.07305014050593372
ensemble_vincent,1,PB,0.0,1,0.3304461052280572,0.6782804050837941
ensemble_vincent,1,PE,0.0,7,0.42460518519861845,1.3166711351106377
ensemble_vincent,1,PI,-10.0,7,-0.6300431740852431,-0.09505451398133852
ensemble_vincent,1,PR,-11.0,1,-1.9274433969895273,-1.4053251320217959
ensemble_vincent,1,RJ,1.0,3,-0.7559394121181499,-0.6046844384705934
ensemble_vincent,1,RN,0.0,3,0.24057760326430747,0.8625300877033006
ensemble_vincent,1,RO,0.0,9,-2.3120565012094683,-1.5203722520782528
ensemble_vincent,1,RR,-1.0,-23,-0.9788375404001362,0.7463898433831976
ensemble_vincent,1,RS,-5.0,-1,-0.3395301068361035,-0.21382817746423263
ensemble_vincent,1,SC,-4.0,-4,-2.846119220258258,-2.444009445442086
ensemble_vincent,1,SE,0.0,0,-0.2055821243842624,0.04988749542649723
ensemble_vincent,1,SP,-4.0,-2,-0.8774427091198094,-0.6019128930522158
ensemble_vincent,1,TO,0.0,-2,0.22134012431505898,0.47260702051847087
ensemble_vincent,2,AC,-3.0,8,-2.3924800971105937,-0.8013967969813365
ensemble_vincent,2,AL,-16.0,-6,-0.7193253539783925,-0.5391985391326518
ensemble_vincent,2,AM,-1.0,3,-1.875190249052058,-0.8173360558969013
ensemble_vincent,2,AP,-12.0,8,-3.5263605246161616,-2.8713488430257743
ensemble_vincent,2,BA,-16.0,2,-2.456528652006993,-1.8526905876093727
ensemble_vincent,2,CE,-14.0,4,0.18119732958167356,0.874718369952807
ensemble_vincent,2,DF,-9.0,9,-4.183972908558995,-2.914602703880987
ensemble_vincent,2,GO,-12.0,3,-1.8683327163729002,-1.5325696462229204
ensemble_vincent,2,MA,-12.0,3,-1.5878306838463463,-0.7963707482921695
ensemble_vincent,2,MG,-6.0,6,-3.462194486734712,-2.9631860150770177
ensemble_vincent,2,MS,-8.0,3,-0.19445097359125393,0.05164234255602989
ensemble_vincent,2,MT,-6.0,-3,-0.9695086961931756,-0.5984431823794156
ensemble_vincent,2,PA,-12.0,2,-1.6699619761530098,-1.2092004867777317
ensemble_vincent,2,PB,-1.0,7,-0.9295489668388635,0.13640914563045967
ensemble_vincent,2,PE,-1.0,2,-0.48866781016776883,-0.11984134444534061
ensemble_vincent,2,PI,1.0,8,-1.7124427143994676,-0.9024817944907815
ensemble_vincent,2,PR,-4.0,1,-2.0566699848988894,-2.0229336906126503
ensemble_vincent,2,RJ,-8.0,7,-3.1486581973564576,-2.108695417524302
ensemble_vincent,2,RN,-3.0,9,-1.4765751925192134,-0.05793877940938067
ensemble_vincent,2,RO,-1.0,-1,-1.1419208157583698,-0.3077661127617579
ensemble_vincent,2,RR,0.0,5,-1.6094379124341005,-0.6916067789818366
ensemble_vincent,2,RS,1.0,-1,-1.5205673184799169,-1.5443887915934107
ensemble_vincent,2,SC,-2.0,0,-2.4367214383586475,-2.235528739978187
ensemble_vincent,2,SE,0.0,12,-0.8462805663015062,-0.009770494752686307
ensemble_vincent,2,SP,-5.0,-6,-2.9394439856445973,-2.4826796563694975
ensemble_vincent,2,TO,-2.0,-1,0.14359053753331816,0.5200066661001606
ensemble_vincent,3,AC,0.0,-2,-1.2345679249041388,-0.9492857250607583
ensemble_vincent,3,AL,0.0,-13,-1.814333791266594,-0.39955107486703434
ensemble_vincent,3,AM,0.0,-5,-0.527250503433391,-0.18876958752537765
ensemble_vincent,3,AP,0.0,-1,-0.6949997552952918,-0.3803892078336229
ensemble_vincent,3,BA,0.0,-5,-0.20443773523354056,-0.24415893104849803
ensemble_vincent,3,CE,0.0,0,0.9636482341954751,1.0291464012536056
ensemble_vincent,3,DF,0.0,19,-0.7827593392496325,0.4340051716093155
ensemble_vincent,3,GO,0.0,-5,-0.4997914002600253,-0.38971630494750353
ensemble_vincent,3,MA,-12.0,-2,-0.22001365830528213,-0.02619905430708703
ensemble_vincent,3,MG,6.0,9,-1.0861116894190734,-0.6365567283755907
ensemble_vincent,3,MS,1.0,-1,0.3492929250502743,0.31488177308846654
ensemble_vincent,3,MT,-5.0,5,-1.4391631267803786,-0.7067543943934386
ensemble_vincent,3,PA,-1.0,1,-0.62668718951911,-0.6703087574062351
ensemble_vincent,3,PB,0.0,9,-0.8014980451721495,-0.018084967652018804
ensemble_vincent,3,PE,0.0,-19,-1.331512014927684,-0.5359079098463269
ensemble_vincent,3,PI,5.0,-3,-0.5585246803530881,-0.5473489522271029
ensemble_vincent,3,PR,-8.0,0,-1.0229040972828691,-0.8510139360922606
ensemble_vincent,3,RJ,0.0,5,-1.2730328101823531,-0.5343540564256528
ensemble_vincent,3,RN,0.0,1,-0.12927118627951242,-0.2740715787313091
ensemble_vincent,3,RO,-5.0,-8,-0.821789737710284,-0.007341519326435941
ensemble_vincent,3,RR,0.0,7,-0.7985076962177716,0.0774237997543445
ensemble_vincent,3,RS,-9.0,-2,-1.4552398260914383,-1.11394153949441
ensemble_vincent,3,SC,1.0,-3,-0.016151335585717002,0.2083976253486582
ensemble_vincent,3,SE,0.0,-7,0.03774032798284711,0.6097208851756507
ensemble_vincent,3,SP,0.0,1,-1.6597015621432853,-1.4913261124778003
ensemble_vincent,3,TO,-1.0,-6,-0.003034903695154047,0.4401660304383933
ensemble_vincent,4,AC,0.0,-2,0.8577691602544989,0.7466517530761931
ensemble_vincent,4,AL,0.0,1,0.2659238919230642,0.31514162837905396
ensemble_vincent,4,AM,0.0,19,-0.6824472052688947,0.7937633672254656
ensemble_vincent,4,AP,0.0,-13,-0.32850406697203594,0.7864051684975951
ensemble_vincent,4,BA,9.0,-2,0.40578101397084515,0.43853660239758246
ensemble_vincent,4,CE,-6.0,-6,-0.49211378515547705,0.4005972366161072
ensemble_vincent,4,DF,13.0,8,1.0932407448661987,1.3884803010558786
ensemble_vincent,4,GO,0.0,0,-0.4795794218382119,-0.44193209725967936
ensemble_vincent,4,MA,0.0,-1,-1.259345358449427,-1.1328305101318215
ensemble_vincent,4,MG,11.0,1,1.3823249292254176,1.110558144878739
ensemble_vincent,4,MS,9.0,-2,1.2225061945803934,1.3982163970818593
ensemble_vincent,4,MT,1.0,4,0.6240493667421898,0.5956360897282784
ensemble_vincent,4,PA,0.0,-3,-0.41112626354290255,-0.3066376328833981
ensemble_vincent,4,PB,0.0,-6,-0.07095384988263508,0.5171397890785879
ensemble_vincent,4,PE,0.0,-6,-0.7535915983696659,-0.40776475433371034
ensemble_vincent,4,PI,-3.0,-5,-1.2644590082585592,-0.7669848247452475
ensemble_vincent,4,PR,13.0,1,2.223229850750308,1.7611622583400952
ensemble_vincent,4,RJ,7.0,6,0.8489450539645431,1.1555362372994775
ensemble_vincent,4,RN,0.0,-7,-0.22392231792979736,0.49662901117789576
ensemble_vincent,4,RO,0.0,-3,0.5149804067817018,0.75305898164671
ensemble_vincent,4,RR,0.0,-2,-1.072636802264849,-0.2314129427967163
ensemble_vincent,4,RS,18.0,2,2.5239978528328404,2.1123679547846423
ensemble_vincent,4,SC,18.0,0,3.3459889370536025,2.7562173663923035
ensemble_vincent,4,SE,0.0,-1,-0.3289615391904913,0.36470022246357753
ensemble_vincent,4,SP,6.0,1,1.37156271067292,0.9804051680903131
ensemble_vincent,4,TO,-7.0,-2,-1.275418111676762,-1.2084497837558577
gru_negbin,1,AC,0.0,-5,-0.4436863209283621,0.12770664753565164
gru_negbin,1,AL,0.0,-26,0.14587816939259476,0.5410485195899295
